"source","url","file_path","retrieved_at","sha256","notes"
"HKO dailyExtract","https://www.hko.gov.hk/cis/dailyExtract/dailyExtract_2012.xml","/workspace/data_raw/hko/daily_extract/dailyExtract_2012.xml","2026-07-11 02:25:20.008087","bdc235d7a5060e4014ec0cf31ce234d4b877898dc4a4544f2d535e215fd19ae4","JSON content despite .xml extension; HKO Headquarters daily climate"
"HKO dailyExtract","https://www.hko.gov.hk/cis/dailyExtract/dailyExtract_2013.xml","/workspace/data_raw/hko/daily_extract/dailyExtract_2013.xml","2026-07-11 02:25:20.012875","52729d026c9ec9454e6d7934d786b738a1e85a6bafc0971fe89001c30967a95a","JSON content despite .xml extension; HKO Headquarters daily climate"
"HKO dailyExtract","https://www.hko.gov.hk/cis/dailyExtract/dailyExtract_2014.xml","/workspace/data_raw/hko/daily_extract/dailyExtract_2014.xml","2026-07-11 02:25:20.017343","a9e662061008ae04eff02114bf7ae96d5bc765958f7620eb1023a49f36ff6bf0","JSON content despite .xml extension; HKO Headquarters daily climate"
"HKO dailyExtract","https://www.hko.gov.hk/cis/dailyExtract/dailyExtract_2015.xml","/workspace/data_raw/hko/daily_extract/dailyExtract_2015.xml","2026-07-11 02:25:20.0179","bc2f1199c43dce592c0a8a0e3f6e87a3a5e923086afc19232f860f0f2bb14a39","JSON content despite .xml extension; HKO Headquarters daily climate"
"HKO dailyExtract","https://www.hko.gov.hk/cis/dailyExtract/dailyExtract_2016.xml","/workspace/data_raw/hko/daily_extract/dailyExtract_2016.xml","2026-07-11 02:25:20.019618","6d912b8e6430caef98773cbedd960ddead9e73abc792f330c3124e4b0c0fbec4","JSON content despite .xml extension; HKO Headquarters daily climate"
"HKO dailyExtract","https://www.hko.gov.hk/cis/dailyExtract/dailyExtract_2017.xml","/workspace/data_raw/hko/daily_extract/dailyExtract_2017.xml","2026-07-11 02:25:20.020156","cf98111157c47bda53cdced2759bc3974b0e2ec2a75e589e0d3fd739236f1624","JSON content despite .xml extension; HKO Headquarters daily climate"
"HKO dailyExtract","https://www.hko.gov.hk/cis/dailyExtract/dailyExtract_2018.xml","/workspace/data_raw/hko/daily_extract/dailyExtract_2018.xml","2026-07-11 02:25:20.020742","7577e08a49677abd119039adf42ac8ac84436f803272ad3e586f879b1c03f50f","JSON content despite .xml extension; HKO Headquarters daily climate"
"HKO dailyExtract","https://www.hko.gov.hk/cis/dailyExtract/dailyExtract_2019.xml","/workspace/data_raw/hko/daily_extract/dailyExtract_2019.xml","2026-07-11 02:25:20.021238","446cb40fc832c097a5a59f7c283dd5bc3522298ef15fd43584d3844523a08e49","JSON content despite .xml extension; HKO Headquarters daily climate"
"HKO dailyExtract","https://www.hko.gov.hk/cis/dailyExtract/dailyExtract_2020.xml","/workspace/data_raw/hko/daily_extract/dailyExtract_2020.xml","2026-07-11 02:25:20.021705","6ac8fb4b43e4b40887d37e119ea9a6417b9c4634407c6ac6548edfa472f74546","JSON content despite .xml extension; HKO Headquarters daily climate"
"HKO dailyExtract","https://www.hko.gov.hk/cis/dailyExtract/dailyExtract_2021.xml","/workspace/data_raw/hko/daily_extract/dailyExtract_2021.xml","2026-07-11 02:25:20.022154","9aa6d8e1a375a75351176fbcea05c95c01bbd2e3c305e77faf479f2d58bb1290","JSON content despite .xml extension; HKO Headquarters daily climate"
"HKO dailyExtract","https://www.hko.gov.hk/cis/dailyExtract/dailyExtract_2022.xml","/workspace/data_raw/hko/daily_extract/dailyExtract_2022.xml","2026-07-11 02:25:20.022604","e3bfdb6ad83c6bda637314212218ceb0c8c5694e40341994119da74d5066dffc","JSON content despite .xml extension; HKO Headquarters daily climate"
"HKO dailyExtract","https://www.hko.gov.hk/cis/dailyExtract/dailyExtract_2023.xml","/workspace/data_raw/hko/daily_extract/dailyExtract_2023.xml","2026-07-11 02:25:20.023072","0aec65724f4f6da2c241fa6e5096e50abd271c52bef26c775cb6c7f224f4372d","JSON content despite .xml extension; HKO Headquarters daily climate"
"HKO dailyExtract","https://www.hko.gov.hk/cis/dailyExtract/dailyExtract_2024.xml","/workspace/data_raw/hko/daily_extract/dailyExtract_2024.xml","2026-07-11 02:25:20.023517","a0372a52cc9f3e2e6430badcd7a15bc2549f3776e89cce39d2a76728eefdee15","JSON content despite .xml extension; HKO Headquarters daily climate"
"HKO open data CLMTEMP","https://data.weather.gov.hk/weatherAPI/opendata/opendata.php?dataType=CLMTEMP&rformat=csv&station=HKO","/workspace/data_raw/hko/CLMTEMP_HKO.csv","2026-07-11 02:25:20.027442","7146b3b156c874a9330796683188ee97687cb0c500082cf8ef1d37518ae96aba","Full historical series; used for cross-checks"
"HKO open data CLMMAXT","https://data.weather.gov.hk/weatherAPI/opendata/opendata.php?dataType=CLMMAXT&rformat=csv&station=HKO","/workspace/data_raw/hko/CLMMAXT_HKO.csv","2026-07-11 02:25:20.032057","5a0a646b4d125e40c25871abbccd5cd24e4f552063a547803ebac820166be4c9","Full historical series; used for cross-checks"
"HKO open data CLMMINT","https://data.weather.gov.hk/weatherAPI/opendata/opendata.php?dataType=CLMMINT&rformat=csv&station=HKO","/workspace/data_raw/hko/CLMMINT_HKO.csv","2026-07-11 02:25:20.036611","e1db1ce51271f9a635ecb1ad593fbe3f368d1ed647232bf397d0d6b3bde8826b","Full historical series; used for cross-checks"
"C&SD MDT 110-01001","https://www.censtatd.gov.hk/data/MDT_76_110-01001_POP_Raw_K_1dp_per_n.csv","/workspace/data_raw/csd_population/MDT_76_110-01001_POP_Raw_K_1dp_per_n.csv","2026-07-11 02:25:21.854165","16317329dc063c14663ff8835bc7bd2f30c710ba49ffd85c40a4f0492a7d7efa","Mid-year population ('000) converted to persons; H=1"
